tarih,ticker,entry_price,initial_stop_price,current_stop_price,target_price,last_seen_price,meta_score,pre_move_score,flow_score,resilience_score,regime_fit_score,quality_score,risk_score,data_quality,market_regime,regime_confidence,model_version,peak_price,trough_price,max_adverse_excursion,max_favorable_excursion,ret_t1,ret_t3,ret_t5,ret_t10,ret_t126,outcome
2026-09-18,T019,100.51199417672316,92.471,92.471,120.6144,100.51199417672316,82.1,85.6,88.2,72.7,83.2,85.0,15.8,85.0,NEUTRAL,35.0,champion-1,100.51199417672316,100.51199417672316,0.0,0.0,,,,,,OPEN
2026-09-18,T045,101.03305722015828,92.9504,92.9504,121.2397,101.03305722015828,78.5,85.2,87.8,53.3,78.0,85.0,15.2,85.0,NEUTRAL,35.0,champion-1,101.03305722015828,101.03305722015828,0.0,0.0,,,,,,OPEN
2026-09-18,T078,101.9669722789332,93.8096,93.8096,122.3604,101.9669722789332,72.8,84.5,87.4,29.6,71.6,85.0,24.8,85.0,NEUTRAL,35.0,champion-1,101.9669722789332,101.9669722789332,0.0,0.0,,,,,,OPEN
2026-09-21,ANHYT,102.8,94.576,94.58,123.36,100.0,83.9,82.6,90.3,86.3,86.6,85.0,17.5,85.0,BROAD_SELL_OFF,90.0,champion-1,105.2,98.8,-3.891,2.335,,,,,,OPEN
2026-09-21,GMTAS,46.0,42.32,48.76,55.2,49.4,78.8,68.7,90.3,88.4,84.9,77.0,19.0,77.0,BROAD_SELL_OFF,90.0,champion-1,53.05,40.9,-11.087,15.326,,,,,,OPEN
2026-09-21,DOCO,10537.5,9694.5,9694.5,12645.0,10457.5,75.5,76.0,82.2,75.8,77.4,85.0,25.2,85.0,BROAD_SELL_OFF,90.0,champion-1,11045.0,10192.5,-3.274,4.816,,,,,,OPEN
2026-09-21,ZRGYO,19.6,18.032,18.03,23.52,19.0,74.1,63.0,82.1,85.5,80.2,85.0,22.3,85.0,BROAD_SELL_OFF,90.0,champion-1,19.75,18.39,-6.173,0.765,,,,,,OPEN
2026-09-21,GEDIK,5.54,5.0968,5.1,6.648,5.14,73.9,64.3,83.0,81.1,78.2,85.0,19.5,85.0,BROAD_SELL_OFF,90.0,champion-1,5.77,4.97,-10.289,4.152,,,,,,STOP_TRIGGERED
2026-09-21,ASTOR,261.75,240.81,240.81,314.1,256.5,72.3,71.7,75.2,73.5,73.6,85.0,18.6,85.0,BROAD_SELL_OFF,90.0,champion-1,271.25,243.0,-7.163,3.629,,,,,,OPEN
2026-09-21,TUKAS,2.02,1.8584,2.14,2.424,2.34,72.2,57.3,81.1,90.3,81.4,77.0,24.3,77.0,BROAD_SELL_OFF,90.0,champion-1,2.45,1.73,-14.356,21.287,,,,,,OPEN
2026-09-22,KCAER,11.65,10.718,10.72,13.98,11.2,80.1,83.1,88.6,65.9,82.4,85.0,17.7,85.0,RECOVERY,40.0,champion-1,11.89,10.84,-6.953,2.06,,,,,,OPEN
2026-09-22,CEMTS,8.09,7.4428,7.44,9.708,7.91,76.0,79.1,83.3,74.3,79.8,77.0,28.0,77.0,RECOVERY,40.0,champion-1,8.18,7.68,-5.068,1.112,,,,,,OPEN
2026-09-22,EGEEN,5090.0,4682.8,5395.4,6108.0,5737.5,75.8,78.3,81.4,73.1,78.6,77.0,20.8,77.0,RECOVERY,40.0,champion-1,6100.0,4770.0,-6.287,19.843,,,,,,OPEN
2026-09-22,RGYAS,198.1,182.252,182.25,237.72,193.1,75.6,75.2,76.4,83.9,76.9,85.0,18.5,85.0,RECOVERY,40.0,champion-1,202.0,190.3,-3.937,1.969,,,,,,OPEN
2026-09-22,DOAS,159.1,146.372,146.37,190.92,154.7,75.2,75.9,78.5,77.4,77.0,85.0,21.7,85.0,RECOVERY,40.0,champion-1,160.5,154.5,-2.891,0.88,,,,,,OPEN
2026-09-22,DGATE,63.35,58.282,58.28,76.02,67.6,74.9,83.7,89.9,30.7,77.9,85.0,21.8,85.0,RECOVERY,40.0,champion-1,68.0,58.15,-8.208,7.34,,,,,,OPEN
2026-09-22,KATMR,1.66,1.5272,1.53,1.992,1.57,74.4,76.6,79.4,68.6,76.4,85.0,21.5,85.0,RECOVERY,40.0,champion-1,1.68,1.56,-6.024,1.205,,,,,,OPEN
